Organisation Name,NACS Code,Organisation Type,Address1,Address2,Address3,Address4,Address5,PostCode,Telephone Number,NHS.UK users rating,Value  (NHS.UK users rating),Banding Classification  (NHS.UK users rating),Accepting NHS patients by referral only,Value  (Accepting NHS patients by referral only),Banding Classification  (Accepting NHS patients by referral only),Accepting new adult NHS patients,Value  (Accepting new adult NHS patients),Banding Classification  (Accepting new adult NHS patients),Accepting new adult patients entitled to free NHS dental care,Value  (Accepting new adult patients entitled to free NHS dental care),Banding Classification  (Accepting new adult patients entitled to free NHS dental care),Accepting children as new NHS patients,Value  (Accepting children as new NHS patients),Banding Classification  (Accepting children as new NHS patients),Urgent NHS dental appointments,Value  (Urgent NHS dental appointments),Banding Classification  (Urgent NHS dental appointments),Induction loop (Induction loop in place),Car parking (Is there car parking at this organisation?)
FG Grylls Health Centre,V000037,DEN,Brinnington Road,Stockport,Cheshire,,,SK5 8BS,Tel: 0161 494 6445,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V000037,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,yes
C Carre,V008039,DEN,Unit U43,Stretford Mall,,Stretford,,M32 9BB,Tel: 0161 865 2431,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008039,,,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,no
Shaw Heath Family Dental Health Centre,V003259,DEN,212 Shaw Heath,Stockport,Cheshire,,,SK2 6QZ,Tel: 0161 429 8851,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003259,0,0,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
Tasmia Khan & Associates,V006193,DEN,The Lodge Dental,6 North Road,Clayton,Manchester,,M11 4WE,Tel: 0161 223 2145,23 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006193,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,yes
Redbridge associates Limited - Stretford,V008141,DEN,Smart Dental Care - Trafford Dental Centre,86 Davyhulme Road East,Stretford,Manchester,,M32 0DJ,Tel: 0161 865 4629,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008141,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,no,yes
Precision Dental Clinic,V028699,DEN,284  Adswood Road,Adswood,Stockport,Cheshire,,SK3 8PN,Tel: 0161 419 9028,17 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V028699,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
Poppies Dental Care,V008540,DEN,24 Urmston Lane,Stretford,,Manchester,,M32 9BP,Tel: 0161 865 1633,35 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008540,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,yes,no
S D Walmsley Dental Practice,V005390,DEN,Walmsley Family Dental,253 Manchester Road,Droylsden,Manchester,Greater Manchester,M43 6HE,Tel: 0161 370 2869,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005390,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,no
DCO Dental,V012791,DEN,1  Hope Road,,,Sale,,M33 3AB,Tel: 0161 962 7465,154 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V012791,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
Poundswick Lane Dental Practice,V005483,DEN,18 Poundswick Lane,Wythenshawe,,Manchester,,M22 9TD,Tel: 0161 499 3141,9 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005483,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
Offerton Dental Surgery,V003245,DEN,"Offerton Health Centre, Offerton Lane",Offerton,Stockport,Cheshire,,SK2 5AR,Tel: 0161 480 0327,13 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003245,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,,yes
Maple Road Dental Practice ,V005475,DEN,11 Maple Road,Brooklands,Sale,Manchester,Lancashire,M23 9HN,Tel: 0161 973 0565,206 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005475,,,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,yes
Claremont Dental Practice,V008807,DEN,11 Claremont Road,Sale,Cheshire,Manchester,,M33 7DZ,Tel: 0161 969 0434,9 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008807,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,no
A R Dental Care,V002844,DEN,1 Albert Road,Cheadle Hulme,Cheadle,Cheshire,,SK8 5DB,Tel: 0161 485 1193,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002844,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
Windsor Dental Practice,V002742,DEN,,Belvedere Road,Salford,Manchester,,M6 5EQ,Tel: 0161 736 1397,20 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002742,,,,false,no,,false,no,,false,no,,false,no,,true,yes,yes,yes
SimplyOne Dental,V000194,DEN,,36 Queens Walk,The Precinct,Droylsden,Lancashire,M43 7AD,Tel: 0161 370 7213,34 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V000194,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,yes,no
DCO Dental Group - Brooklands,V008210,DEN,203 Marsland Road,Sale,Cheshire,Cheshire,Cheshire,M33 3ND,Tel: 0161 962 0066,9 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008210,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
"Bupa Dental Care, Sale",V008528,DEN,23 Washway Road,Sale,Cheshire,Cheshire,,M33 7AD,Tel: 0161 969 5513,13 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008528,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,yes,yes
Deane Dental Practice,V017512,DEN,The Vibe,175 Broughton Lane,,Salford,Lancashire,M7 1US,Tel: 0161 478 2980,29 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V017512,,,,false,no,,false,no,,false,no,,false,no,,true,yes,no,
"mydentist, Marple Road, Offerton ",V003248,DEN,,1 Marple Road,Offerton,Stockport,Cheshire,SK2 5EH,Tel: 0161 483 3898,21 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003248,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
128 Dental Care,V003244,DEN,128 Mile End Lane,Stockport,,Cheshire,,SK2 6BY,Tel: 0161 483 2823,11 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003244,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
Salford Dental practice,V042818,DEN,Salford Dental Practice,483 Liverpool Street,Salford,Manchester,,M6 5QQ,Tel: 0161 745 7975,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V042818,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
Portway Dental Practice,V005508,DEN,Portway Dental Practice,,40 Portway,Wythenshawe,Lancashire,M22 1UB,Tel: 01614372382,73 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005508,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,yes,no
Queens Road Dental & Cosmetic Centre,V006187,DEN,337 Queens Road,,,Manchester,,M8 0JL,Tel: 0161 205 1113,12 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006187,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,,yes
Smart Smile Care Ltd (First Dental Care),V007368,DEN,,22 Manchester Road,Denton,Manchester,,M34 3LE,Tel: 0161 336 2710 (ext. 3362030),6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007368,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,no,no
Long Lane Dental Practice,V003119,DEN,176 Wilmslow Road,Heald Green,,Cheadle,,SK8 3BG,Tel: 0161 437 1594,15 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003119,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,no
Sale Dental Spa,V013955,DEN,,77 Washway Road,,Sale,Cheshire,M33 7TQ,Tel: 0161 969 7432,7 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V013955,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
Denton Orthodontic Practice Ltd.,V017192,DEN,Denton Orthodontic Centre,1 Walker Street,Denton,Manchester,,M34 3LH,Tel: 0161 336 4075,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V017192,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Crown Point Dental Practice,V005368,DEN,,2 Victoria Street,Denton,Manchester,Lancashire,M34 3JQ,Tel: 01613362515,9 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005368,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,no
Finney Lane Dental Care,V003120,DEN,Finney Lane Dental Care,195 Finney lane,Heald Green,Cheadle,Cheshire,SK8 3PX,Tel: 01614374040,13 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003120,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
Helm S & Holland A,V002731,DEN,,192 Langworthy Road,Salford,Manchester,,M6 5PP,Tel: 0161 736 2695,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002731,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
Freedom Dental,V017963,DEN,Freedom Dental,105 Station Road,Cheadle Hulme,Cheshire,,SK8 7BG,Tel: 0161 486 6821,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V017963,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
Kingswater Dental Practice,V005350,DEN,102 Denton Road,Audenshaw,,Manchester,Lancs,M34 5BD,Tel: 0161 336 3649,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005350,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,yes,yes
Droylsden Road Dental Practice ,V006179,DEN,117 Droylsden Road,Newton Heath,Manchester,,,M40 1NT,Tel: 0161 682 6903,16 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006179,,,,false,no,,false,no,,false,no,,false,no,,true,yes,yes,yes
The Griffin Dental Surgery,V002748,DEN,,1-3 Great Cheetham Street West,Salford,Manchester,,M7 2JB,Tel: 0161 792 2363,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002748,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,no,yes
Corra Linn House Dental Practice,V003110,DEN,316b Buxton Road,Great Moor,Stockport,Cheshire,,SK2 7DD,Tel: 0161 483 2816,47 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003110,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,no,no
End D,V002736,DEN,David End Dental Practice,263 Great Cheetham Street East,Salford,Manchester,,M7 4UF,Tel: 0161 792 1960,55 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002736,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,,yes
"Bupa Dental Care, Bramhall",V002837,DEN,233 Bramhall Lane South,Bramhall,,Stockport,,SK7 3EP,Tel: 0161 439 2360,9 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002837,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,no,yes
Collegiate Dental Practice,V006221,DEN,76 Brideoak Street,Cheetham Hill,,Manchester,,M8 0AB,Tel: 0161 205 1000,15 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006221,,,,false,no,,false,no,,false,no,Children up to the age of 18,true,yes,,true,yes,no,yes
Circle Dental Care Ltd,V135401,DEN,554 Barton Road,Stretford,Manchester,,,M32 9TD,,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V135401,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
South Manchester Dental Emergency Co-Operative Ltd,V039848,DEN,DCO Dental Group,Lakes Medical Centre,53C Mainwood Road,Timperley,,WA15 7JW,,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V039848,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
DCO Dental,V012285,DEN,53c Mainwood Road,Timperley,,Altrincham,,WA15 7JW,Tel: 0161 980 6745,101 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V012285,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
Turret Orthodontic Practice,V008209,DEN,258 Washway Road,,Sale,Cheshire,,M33 4RZ,Tel: 0161 926 0629,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008209,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,no,yes
South Manchester Dental Emergency Co-Operative Ltd,V131711,DEN,Circle Dental Practice,Barton Road,Stretford,Manchester,,M32 9TR,,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V131711,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
Circle Dental Care Ltd,V012811,DEN,16a The Circle,Barton Road,Stretford,Manchester,,M32 9TR,Tel: 0161 748 2605,19 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V012811,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
